Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Description,Treatment
Common Cold,runny nose,cough,sore throat,congestion,Viral infection affecting nose and throat,Rest fluids over-the-counter medications
Influenza,fever,body aches,fatigue,cough,Respiratory illness caused by influenza viruses,Rest fluids antiviral medications if prescribed
Migraine,headache,sensitivity to light,nausea,visual disturbances,Severe headache often with nausea and light sensitivity,Pain relievers rest in dark room avoid triggers
Food Poisoning,nausea,vomiting,diarrhea,stomach cramps,Illness caused by consuming contaminated food,Hydration bland diet medical attention if severe
Allergic Reaction,rash,itching,swelling,difficulty breathing,Immune system reaction to allergens,Avoid allergens antihistamines medical evaluation
Anxiety,worry,restlessness,rapid heartbeat,sweating,Mental health condition characterized by excessive worry,Therapy relaxation techniques medical consultation
Hypertension,high blood pressure,headache,dizziness,chest pain,Condition where blood pressure is consistently high,Lifestyle changes medication as prescribed
Diabetes,frequent urination,excessive thirst,blurred vision,fatigue,Metabolic disorder affecting blood sugar levels,Diet management exercise medication as prescribed
Asthma,shortness of breath,wheezing,cough,chest tightness,Respiratory condition causing breathing difficulties,Inhalers avoid triggers medical management
Gastritis,stomach pain,bloating,acid reflux,nausea,Inflammation of stomach lining,Dietary changes medications avoid irritants
Insomnia,difficulty sleeping,fatigue,irritability,concentration problems,Sleep disorder preventing adequate rest,Sleep hygiene stress management medical evaluation
Depression,sadness,loss of interest,fatigue,changes in appetite,Mental health condition affecting mood and behavior,Therapy lifestyle changes medical consultation
Bronchitis,persistent cough,mucus production,chest discomfort,shortness of breath,Inflammation of bronchial tubes,Rest fluids cough suppressants medical care
Pneumonia,fever,chills,cough with phlegm,difficulty breathing,Infection that inflames air sacs in lungs,Antibiotics rest fluids medical treatment
Sinusitis,facial pain,nasal congestion,thick nasal discharge,reduced sense of smell,Inflammation of sinus cavities,Decongestants nasal irrigation antibiotics if bacterial
Strep Throat,sore throat,fever,swollen lymph nodes,difficulty swallowing,Bacterial infection of throat and tonsils,Antibiotics rest throat lozenges pain relievers
Urinary Tract Infection,burning urination,frequent urination,pelvic pain,cloudy urine,Bacterial infection of urinary system,Antibiotics increased fluid intake cranberry juice
Arthritis,joint pain,stiffness,swelling,reduced mobility,Inflammation of joints causing pain and stiffness,Anti-inflammatory medications physical therapy exercise
Osteoporosis,bone pain,fractures,height loss,stooped posture,Bone density loss leading to fragile bones,Calcium vitamin D weight-bearing exercise medications
Acid Reflux,heartburn,chest pain,regurgitation,difficulty swallowing,Stomach acid flowing back into esophagus,Antacids dietary changes avoid triggers medication
Constipation,infrequent bowel movements,hard stools,abdominal pain,bloating,Difficulty passing stools regularly,Increased fiber fluids exercise laxatives if needed
Diarrhea,loose stools,frequent bowel movements,abdominal cramps,dehydration,Frequent passage of loose watery stools,Hydration BRAT diet probiotics medical attention if severe
Irritable Bowel Syndrome,abdominal pain,bloating,changes in bowel habits,gas,Functional disorder affecting large intestine,Dietary modifications stress management medications
Gallstones,severe abdominal pain,nausea,vomiting,jaundice,Hardened deposits in gallbladder,Pain management dietary changes surgery if severe
Kidney Stones,severe back pain,nausea,vomiting,blood in urine,Hard deposits forming in kidneys,Pain management increased fluids medical intervention
Anemia,fatigue,weakness,pale skin,shortness of breath,Low red blood cell count or hemoglobin,Iron supplements dietary changes treat underlying cause
